fov,cell_ID,x_global_px,y_global_px,x_local_px,y_local_px,z,target,CellComp
2,0,5832.30674444444,-156999.258333333,5337.8623,3234.075,2,ADGRG5,0
2,0,5760.95174444445,-157122.261833333,5266.5073,3111.0715,2,RPL34,0
2,0,5517.85544444444,-157078.533373333,5023.411,3154.79996,2,MMP9,0
2,0,5718.18344444445,-157183.802533333,5223.739,3049.5308,2,CD19,0
2,0,5508.35844444445,-157117.090473333,5013.914,3116.24286,2,IGHM,0
2,0,5939.94444444444,-157035.700003333,5445.5,3197.63333,2,CYTOR,Membrane
2,0,5742.75844444444,-157091.704733333,5248.314,3141.6286,2,CDKN1A,0
2,0,5762.03644444444,-156979.633353333,5267.592,3253.69998,2,IL1RL1,0
2,0,5932.03544444444,-157092.769673333,5437.591,3140.56366,2,KRT23,0
2,0,5512.91944444444,-157117.483333333,5018.475,3115.85,2,RGCC,0
2,0,5651.88584444444,-157173.066673333,5157.4414,3060.26666,2,IGF1,0
2,0,5555.98694444444,-157186.416633333,5061.5425,3046.9167,2,IL1B,0
2,0,5460.51914444445,-157104.183333333,4966.0747,3129.15,2,DUSP5,Membrane
2,0,5759.97274444444,-157163.790483333,5265.5283,3069.54285,2,TNFSF15,0
2,0,5700.50694444444,-156997.683333333,5206.0625,3235.65,2,DNMT1,0
2,0,5784.10504444444,-157117.786633333,5289.6606,3115.5467,2,IL17D,0
2,0,5763.25404444444,-156907.983333333,5268.8096,3325.35,2,FOS,0
2,0,5765.86484444444,-156960.553333333,5271.4204,3272.78,2,IGHG1,0
2,0,5652.15584444445,-157117.611133333,5157.7114,3115.7222,2,BRCA1,0
2,0,5911.13784444445,-157006.186693333,5416.6934,3227.14664,2,IL24,Membrane
2,0,5898.91074444445,-157062.113303333,5404.4663,3171.22003,2,JAG1,0
2,0,5884.90144444444,-156764.276203333,5390.457,3469.05713,2,IL20RA,0
2,0,5828.17744444445,-156980.649983333,5333.733,3252.68335,2,VIM,0
2,0,5740.84484444444,-157178.342833333,5246.4004,3054.9905,2,ADGRV1,0
2,0,5906.38094444445,-156988.678833333,5411.9365,3244.6545,2,VHL,Membrane
